name;norad_cat_id;epoch;tle_line1;tle_line2
SKYNET 5B;32294;2025-10-05T12:00:44.915904;;
ASTRA 4A;32299;2025-10-05T08:29:24.228096;;
COSMO-SKYMED 2;32376;2025-10-05T12:16:25.412736;;
RADARSAT-2;32382;2025-10-05T13:17:27.682368;;
NAVSTAR 61 (USA 199);32384;2025-10-05T12:14:29.005152;;
HORIZONS-2;32388;2025-10-05T11:32:29.175072;;
COSMOS 2434 [GLONASS-M];32393;2025-10-05T10:49:48.279072;;
COSMOS 2436 [GLONASS-M];32395;2025-10-05T03:57:47.261376;;
THURAYA-3;32404;2025-10-05T12:51:28.361952;;
THOR 5;32487;2025-10-05T08:27:46.882944;;
AMC-14;32708;2025-10-01T23:31:27.819840;;
NAVSTAR 62 (USA 201);32711;2025-10-04T20:53:24.935136;;
DIRECTV 11;32729;2025-10-05T03:03:00.188928;;
ICO G1;32763;2025-10-05T09:57:50.000256;;
VINASAT-1;32767;2025-10-05T10:48:25.898400;;
STAR ONE C2;32768;2025-10-05T11:34:51.447360;;
CARTOSAT-2A;32783;2025-10-05T11:13:10.676352;;
CUTE-1.7+APD II (CO-65);32785;2025-10-05T11:41:55.801824;;
CANX-2;32790;2025-10-05T11:22:29.976384;;
SEEDS II (CO-66);32791;2025-10-05T11:17:54.437280;;
AMOS-3;32794;2025-10-05T08:26:46.979232;;
GALAXY 18 (G-18);32951;2025-10-05T11:18:23.026176;;
YUBILEINY (RS-30);32953;2025-10-05T11:09:05.282208;;
COSMOS 2437;32954;2025-10-05T11:49:32.411136;;
COSMOS 2438;32955;2025-10-05T12:29:28.168224;;
COSMOS 2439;32956;2025-10-05T12:22:35.056128;;
FENGYUN 3A;32958;2025-10-05T10:53:43.224864;;
ZHONGXING-9;33051;2025-10-05T11:22:00.068160;;
FGRST (GLAST);33053;2025-10-05T02:31:18.962976;;
SKYNET 5C;33055;2025-10-05T10:05:44.991168;;
TURKSAT 3A;33056;2025-10-05T12:05:29.462208;;
INTELSAT 25 (IS-25);33153;2025-10-05T10:01:45.372000;;
ECHOSTAR 11;33207;2025-10-05T11:25:37.732224;;
SUPERBIRD-C2;33274;2025-10-05T10:51:55.561824;;
AMC-21;33275;2025-10-05T11:17:53.073024;;
INMARSAT 4-F3;33278;2025-10-05T11:25:29.843040;;
HUANJING 1A (HJ-1A);33320;2025-10-05T11:49:12.580608;;
HUANJING 1B (HJ-1B);33321;2025-10-05T11:50:29.237280;;
GEOEYE 1;33331;2025-10-05T11:33:38.417760;;
NIMIQ 4;33373;2025-10-05T11:30:06.901056;;
GALAXY 19 (G-19);33376;2025-10-05T11:25:52.307040;;
THEOS;33396;2025-10-05T11:28:31.295136;;
SHIJIAN-6 03A (SJ-6 03A);33408;2025-10-05T12:33:37.740672;;
SHIJIAN-6 03B (SJ-6 03B);33409;2025-10-05T12:01:21.977184;;
COSMO-SKYMED 3;33412;2025-10-05T12:21:58.643712;;
SHIYAN-3 (SY-3);33433;2025-10-05T12:02:28.622688;;
CHUANGXIN 1-02 (CX-1-02);33434;2025-10-05T13:23:49.878816;;
ASTRA 1M;33436;2025-10-05T11:58:52.595904;;
YAOGAN-4;33446;2025-10-05T08:49:25.023072;;
EUTELSAT HOTBIRD 13C;33459;2025-10-05T08:24:24.706080;;
GOSAT (IBUKI);33492;2025-10-05T08:13:07.544352;;
STARS (KUKAI);33498;2025-10-05T09:35:18.801024;;
KKS-1 (KISEKI);33499;2025-10-05T11:49:47.646048;;
EXPRESS-AM44;33595;2025-10-05T08:24:54.659232;;
NSS-9;33749;2025-10-05T11:03:01.996128;;
TELSTAR 11N;34111;2025-10-05T04:51:45.097056;;
NAVSTAR 63 (USA 203);34661;2025-10-02T00:54:21.915360;;
WGS F2 (USA 204);34713;2025-10-05T12:09:59.031072;;
SES-7 (PROTOSTAR 2);34941;2025-10-05T12:24:28.476000;;
MEASAT-3A;35362;2025-10-05T12:27:38.714112;;
GOES 14;35491;2025-10-05T11:22:37.619328;;
FM-5;35493;2025-10-05T11:20:46.972032;;
TERRESTAR-1;35496;2025-10-05T11:21:52.691328;;
COSMOS 2451;35498;2025-10-05T11:15:28.511136;;
COSMOS 2453;35500;2025-10-05T11:54:50.954112;;
DEIMOS-1;35681;2025-10-05T12:44:58.437888;;
